# Hebrew → English translations for the /en/ pages.
# Format: one pair per line, <Hebrew> TAB <English>. Lines starting with # are ignored.
# After changing any Hebrew text on the site, add/update its line here and run:
#     python _i18n/build_en.py
# The build fails and lists the text if anything Hebrew is left untranslated.
# Avoid double quotes (") in the English column – some strings are embedded in JSON-LD.

# ---------- Shared: brand, header, navigation, footer ----------
המעבדה	The Lab
אפליקציה מתקדמת ובלעדית שפותחת את כל תכונות האיירפודס באנדרואיד: סינון רעשים, שקיפות אדפטיבית, זיהוי אוזניים, מצב סוללה, מודעות לשיחה, מחוות ראש ועוד. מובנית במערכת – ללא רוט וללא מודולים.	An advanced, exclusive app that unlocks every AirPods feature on Android: noise cancellation, adaptive transparency, ear detection, battery status, conversation awareness, head gestures and more. Built into the system – no root and no modules.
גלריה חכמה ומתקדמת שמציגה ופותחת רק הסרטות, ללא אפשרות צפייה או הצגה של וידאו חיצוני. מנגנון ייחודי שסורק ומנתח את הקבצים ללא אפשרות עקיפה.	A smart, advanced gallery that shows and opens only your own camera recordings, with no way to view or display outside video. A unique mechanism scans and analyzes files and can't be bypassed.
אפליקציה מתקדמת למניעת עקיפת חסימות MDM במכשירים ללא שירותי גוגל רשמיים. מעניקה שכבת הגנה נוספת שמונעת הסרת מגבלות מערכת.	An advanced app that stops MDM blocking from being bypassed on devices without official Google services. Adds an extra layer of protection that prevents system restrictions from being removed.
אפליקציה ייחודית ובלעדית לחסימת וידאו הרמטית בכל האפליקציות עם התקנת אפליקציות פתוחה. מנגנון מתקדם שמזהה וחוסם נגני וידאו בתוך כל אפליקציה באופן כירורגי, מבלי לפגוע בשימוש השוטף. כולל אפשרות לחסימת רשת ואפליקציות.	A unique, exclusive app for airtight video blocking across every app, with app installs left open. An advanced mechanism surgically detects and blocks video players inside any app without disrupting everyday use. Includes optional network and app blocking.
עוזר קולי אופליין מבוסס AI. מאפשר לבצע פעולות מהירות במכשיר באמצעות פקודות קוליות פשוטות, כולל הקלדה קולית במודל מקומי – ללא אינטרנט כלל.	An offline, AI-powered voice assistant. Perform quick actions on your device with simple voice commands, including voice typing with an on-device model – no internet at all.

# ---------- Downloads: feature tags ----------
מובנה במערכת	Built into the system
אופליין	Offline
ללא רוט	No root
מבוסס MDM	MDM-based
לא ניתן לעקיפה	Bypass-proof
שליטה מלאה במכשיר	Full device control
התקנה אוטומטית	Automatic install
ללא מתקין החבילות	No package installer
מהירות גבוהה	High speed
ללא אינטרנט	No internet
תמיכה בבלוטות'	Bluetooth support
תמיכה ברמקול	Speaker support
אפשרות הקלטה	Recording option
ללא מודולים	No modules
ניתוח קבצים	File analysis
שליטה בתצוגה	Display control
חסימה מערכתית	System-level blocking
לא דורש שירותי גוגל	No Google services needed
ניטור בזמן אמת	Real-time monitoring
משולב MDM	MDM-integrated
הקלדה קולית	Voice typing
